"patient_id","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"AF035777",-0.0069213,-5.29101e-05,-0.000329424,-0.000552824,-0.00014229,-0.000207613,-0.000398678,-0.000174293,-0.000124049,-0.000337563
"AF035773",-0.00688387,-0.000124075,-0.000284347,-0.000351831,5.59928e-05,-0.000319264,-0.000429708,-0.000171186,-0.000314809,-0.000296459
"AF035770",-0.00666719,0.000226339,-0.000350686,-0.000356263,-0.000164906,-0.00127088,-0.000362381,-0.000665176,-0.00061529,-0.000244683
"AF035768",-0.00717642,-2.21342e-05,-0.000367096,-0.000458726,-0.000138302,-0.000397335,-0.000140719,-3.48953e-05,-0.000165483,-0.000250838
"AF035767",-0.00693583,-0.000169931,-0.000320261,-0.000438741,-0.000219124,-0.000280437,-0.000435012,-0.000185752,-0.000222794,-0.000325172
"AF035761",0.00245919,0.000429014,0.000705279,0.00243199,0.000681528,0.00117466,0.00254147,0.0010027,0.000766862,0.0018994
"AF035759",-0.00706029,-7.38425e-05,-0.00017908,-0.000309625,-1.25531e-05,-0.000284006,-0.000220178,-0.000264313,-0.000237617,-0.000275608
"AF035758",-0.00695907,-0.000107739,-0.000183112,-0.000556013,-4.589e-05,-0.000476584,-0.00022138,-0.000203321,-0.000286989,-0.000191383
"AF035757",-0.00670922,-0.000459503,-0.000357816,-0.000386748,-0.000113543,-0.000203565,-0.000319274,-0.000133083,-0.000139024,-0.00021233
"AF035756",-0.00684653,-0.000322481,-0.000407402,-0.000391099,-1.26836e-05,-5.12592e-05,-0.000391267,-6.91802e-05,-0.000247666,-0.00041506
"AF035755",-0.00723106,-0.000146829,-0.000270472,-0.000530314,-0.000116323,-0.000187981,-0.000213891,-0.000114912,-0.000167041,-0.000307132
"AF035754",-0.0069551,-0.000139524,-0.000268755,-0.000503139,1.31738e-05,-0.000361274,-6.17454e-05,-0.000256292,-0.000254017,-0.000303043
"AF035753",-0.00693216,-6.36645e-05,-0.000238173,-0.000410769,-0.000200894,-0.000229708,-0.000413296,-0.000228273,-0.000322684,-0.000407481
"AF035752",-0.00685176,-0.000428655,-0.000246575,-0.000408821,-0.00015484,-0.000110143,-0.000164395,-0.000262921,-0.000155855,-0.000136731
"AF035751",-0.00672325,-0.000124615,-2.27456e-05,-0.000371725,-0.000123848,-0.000160587,-0.000215687,-0.000247088,-0.000229932,-0.000214007
"AF035750",-0.00281964,-0.000504111,-2.18903e-05,-0.000382127,-0.000168284,-0.000328738,-5.54536e-06,4.03317e-05,-0.000190752,-0.000172737
"AF035749",-0.00725002,6.6886e-05,-9.78731e-05,-0.000635743,-0.000128267,-0.000205582,-8.41984e-05,-0.000274501,-0.000150501,-0.000227454
